,name,genre,episodes,rating,members,type_Movie,type_Music,type_ONA,type_OVA,type_Special,type_TV
26,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",26,8.8,205959,0,0,0,0,0,1
27,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",10,8.8,101351,0,0,0,0,0,1
28,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",26,8.78,300030,0,0,0,0,0,1
29,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",27,8.78,562962,0,0,0,0,0,1
30,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",43,8.77,268487,0,0,0,0,0,1
31,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",13,8.76,38865,0,0,0,0,0,1
32,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",26,8.75,88995,0,0,0,0,0,1
33,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",1,8.75,32266,1,0,0,0,0,0
34,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",13,8.75,98431,0,0,0,0,0,1
35,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",1,8.74,333186,1,0,0,0,0,0
36,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",12,8.73,340973,0,0,0,0,0,1
37,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",1,8.73,34347,1,0,0,0,0,0
38,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",74,8.72,247562,0,0,0,0,0,1
39,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",25,8.71,133620,0,0,0,0,0,1
40,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",37,8.71,1013917,0,0,0,0,0,1
41,Gintama°: Aizome Kaori-hen,"Comedy, Parody",2,8.69,16947,0,0,0,1,0,0
42,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",25,8.68,176475,0,0,0,0,0,1
43,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",25,8.68,284498,0,0,0,0,0,1
44,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",25,8.68,66756,0,0,0,0,0,1
45,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",1,8.68,111074,1,0,0,0,0,0
46,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",13,8.67,102322,0,0,0,0,0,1
47,Ping Pong The Animation,"Psychological, Seinen, Sports",11,8.67,97187,0,0,0,0,0,1
48,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",1,8.66,49036,0,0,0,0,1,0
49,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",12,8.65,402381,0,0,0,0,0,1
50,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",11,8.65,122531,0,0,0,0,0,1
51,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",13,8.64,56162,0,0,0,0,0,1
52,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",4,8.64,33422,0,0,0,1,0,0
53,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",26,8.64,139474,0,0,0,0,0,1
54,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",25,8.64,355839,0,0,0,0,0,1
55,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",1,8.64,82253,1,0,0,0,0,0
56,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",13,8.64,114173,0,0,0,0,0,1
57,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",11,8.62,463835,0,0,0,0,0,1
58,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",25,8.62,184525,0,0,0,0,0,1
59,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",1,8.61,192424,1,0,0,0,0,0
60,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",1,8.61,197439,1,0,0,0,0,0
61,Shokugeki no Souma,"Ecchi, School, Shounen",24,8.61,348951,0,0,0,0,0,1
62,Yuri!!! on Ice,"Comedy, Sports",12,8.61,103178,0,0,0,0,0,1
63,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",2,8.6,11104,1,0,0,0,0,0
64,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",24,8.6,93657,0,0,0,0,0,1
65,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",1,8.59,51185,1,0,0,0,0,0
66,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",10,8.59,297454,0,0,0,1,0,0
67,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",24,8.59,425457,0,0,0,0,0,1
68,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",13,8.59,71295,0,0,0,0,0,1
69,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",99,8.59,72958,0,0,0,0,0,1
70,Bakemono no Ko,"Adventure, Supernatural",1,8.58,80825,1,0,0,0,0,0
71,Hotaru no Haka,"Drama, Historical",1,8.58,174878,1,0,0,0,0,0
72,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",25,8.58,243325,0,0,0,0,0,1
73,Major S5,"Comedy, Drama, Romance, Sports",25,8.58,28653,0,0,0,0,0,1
74,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Unknown,8.58,504862,0,0,0,0,0,1
75,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",26,8.57,113993,0,0,0,0,0,1
76,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",39,8.57,74074,0,0,0,0,0,1
77,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",1,8.57,95658,1,0,0,0,0,0
78,Kingdom 2nd Season,"Action, Historical, Military, Seinen",39,8.57,31234,0,0,0,0,0,1
79,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",101,8.56,82570,0,0,0,0,0,1
80,Usagi Drop,"Josei, Slice of Life",11,8.56,194855,0,0,0,0,0,1
81,Girls und Panzer der Film,"Military, School",1,8.55,25641,1,0,0,0,0,0
82,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",12,8.55,193716,0,0,0,0,0,1
83,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",47,8.55,197256,0,0,0,0,0,1
84,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",13,8.54,363215,0,0,0,0,0,1
85,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",1,8.54,34011,0,0,0,0,1,0
86,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",25,8.54,896229,0,0,0,0,0,1
87,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",25,8.53,151561,0,0,0,0,0,1
88,Cross Game,"Comedy, Drama, Romance, School, Sports",50,8.53,53108,0,0,0,0,0,1
89,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",1,8.53,28864,1,0,0,0,0,0
90,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",1,8.53,182224,1,0,0,0,0,0
91,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",25,8.53,288376,0,0,0,0,0,1
92,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",26,8.53,44223,0,0,0,1,0,0
93,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",25,8.52,86074,0,0,0,0,0,1
94,Fate/Zero,"Action, Fantasy, Supernatural",13,8.51,453630,0,0,0,0,0,1
95,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",26,8.51,190197,0,0,0,0,0,1
96,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",12,8.51,462974,0,0,0,0,0,1
97,Nichijou,"Comedy, School, Slice of Life",26,8.52,254436,0,0,0,0,0,1
98,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",22,8.5,509109,0,0,0,0,0,1
99,Barakamon,"Comedy, Slice of Life",12,8.5,225927,0,0,0,0,0,1
100,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",51,8.5,38531,0,0,0,0,0,1
101,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",25,8.5,245026,0,0,0,0,0,1
102,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",1,8.5,135735,1,0,0,0,0,0
103,Major: World Series,"Comedy, Drama, Sports",2,8.5,13405,0,0,0,1,0,0
104,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",26,8.5,390076,0,0,0,0,0,1
105,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",13,8.5,185015,0,0,0,0,0,1
106,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",12,8.49,207241,0,0,0,0,0,1
107,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",1,8.49,85361,1,0,0,0,0,0
108,Major S6,"Comedy, Drama, Sports",25,8.49,24788,0,0,0,0,0,1
109,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",12,8.49,88850,0,0,0,0,0,1
110,Shirobako,"Comedy, Drama",24,8.49,146895,0,0,0,0,0,1
111,Ashita no Joe 2,"Drama, Sports",47,8.48,6259,0,0,0,0,0,1
112,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",62,8.48,166255,0,0,0,0,0,1
113,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",13,8.48,299434,0,0,0,0,0,1
114,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",12,8.48,146592,0,0,0,0,0,1
115,Tonari no Totoro,"Adventure, Comedy, Supernatural",1,8.48,271484,1,0,0,0,0,0
116,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",26,8.47,194491,0,0,0,0,0,1
117,Kaze no Tani no Nausicaä,"Adventure, Fantasy",1,8.47,143273,1,0,0,0,0,0
118,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",12,8.47,602291,0,0,0,0,0,1
119,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",33,8.47,15074,0,0,0,0,0,1
120,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",112,8.47,195017,0,0,0,0,0,1
121,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",13,8.46,102822,0,0,0,0,0,1
122,Kuroko no Basket,"Comedy, School, Shounen, Sports",25,8.46,338315,0,0,0,0,0,1
123,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",23,8.46,157025,0,0,0,0,0,1
124,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",12,8.46,210491,0,0,0,0,0,1
125,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",2,8.45,92543,0,0,0,1,0,0
126,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",1,8.46,159548,0,0,0,0,1,0
127,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",13,8.45,205987,0,0,0,0,0,1
128,Kemono no Souja Erin,"Drama, Fantasy",50,8.45,36751,0,0,0,0,0,1
129,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",1,8.45,99579,1,0,0,0,0,0
130,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",1,8.45,215630,1,0,0,0,0,0
131,Toradora!,"Comedy, Romance, School, Slice of Life",25,8.45,633817,0,0,0,0,0,1
132,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",1,8.44,289206,1,0,0,0,0,0
133,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",3,8.44,57963,0,0,0,1,0,0
134,Owarimonogatari,"Comedy, Mystery, Supernatural",12,8.43,107855,0,0,0,0,0,1
135,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",94,8.43,218928,0,0,0,0,0,1
136,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",1,8.43,125503,1,0,0,0,0,0
137,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",1,8.42,28462,1,0,0,0,0,0
138,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",12,8.42,267484,0,0,0,0,0,1
139,Major S1,"Comedy, Drama, Shounen, Sports",26,8.42,41061,0,0,0,0,0,1
140,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",6,8.42,15420,0,0,0,1,0,0
141,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",24,8.42,331627,0,0,0,0,0,1
142,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",13,8.42,210736,0,0,0,0,0,1
143,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",1,8.42,85020,1,0,0,0,0,0
144,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",24,8.41,218101,0,0,0,0,0,1
145,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",8,8.41,53168,0,0,0,1,0,0
146,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",14,8.41,55787,0,0,0,1,0,0
147,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",2,8.41,67261,0,0,0,1,0,0
148,Major S2,"Comedy, Drama, Shounen, Sports",26,8.41,30689,0,0,0,0,0,1
149,One Outs,"Psychological, Seinen, Sports",25,8.41,83056,0,0,0,0,0,1
150,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",26,8.4,148328,0,0,0,0,0,1
151,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",25,8.4,226430,0,0,0,0,0,1
152,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",1,8.4,137636,1,0,0,0,0,0
153,Major S3,"Drama, Shounen, Sports",26,8.4,29528,0,0,0,0,0,1
154,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",7,8.4,42076,0,0,0,1,0,0
155,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",1,8.4,28302,0,0,0,1,0,0
156,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",24,8.4,291228,0,0,0,0,0,1
157,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",40,8.4,32188,0,0,0,0,0,1
158,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",24,8.4,380375,0,0,0,0,0,1
159,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",13,8.39,717796,0,0,0,0,0,1
160,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",15,8.39,482268,0,0,0,0,0,1
161,Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",12,8.39,83641,0,0,0,0,0,1
162,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",1,8.39,47840,0,0,0,0,1,0
163,One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",1,8.39,76051,1,0,0,0,0,0
164,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",26,8.39,422271,0,0,0,0,0,1
165,Detective Conan Movie 13: The Raven Chaser,"Action, Mystery, Police, Shounen",1,8.38,21798,1,0,0,0,0,0
166,Durarara!!,"Action, Mystery, Supernatural",24,8.38,556431,0,0,0,0,0,1
167,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",11,8.38,67697,0,0,0,0,0,1
168,Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",26,8.38,105044,0,0,0,0,0,1
169,Shelter,"Music, Sci-Fi",1,8.38,71136,0,1,0,0,0,0
170,Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",1,8.38,151061,1,0,0,0,0,0
171,Gintama: Shiroyasha Koutan,"Action, Comedy, Historical, Parody, Sci-Fi",1,8.37,27213,0,0,0,0,1,0
172,Hachimitsu to Clover II,"Drama, Josei, Romance",12,8.37,61493,0,0,0,0,0,1
173,InuYasha: Kanketsu-hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",26,8.37,99128,0,0,0,0,0,1
174,Kaguya-hime no Monogatari,"Fantasy, Historical",1,8.37,45547,1,0,0,0,0,0
175,Katekyo Hitman Reborn!,"Action, Comedy, Shounen, Super Power",203,8.37,258103,0,0,0,0,0,1
176,Kuroshitsuji: Book of Circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",10,8.37,122895,0,0,0,0,0,1
177,Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance",13,8.37,334932,0,0,0,0,0,1
178,Boku no Hero Academia,"Action, Comedy, School, Shounen, Super Power",13,8.36,282002,0,0,0,0,0,1
179,Gin no Saji 2nd Season,"Comedy, School, Shounen, Slice of Life",11,8.36,67032,0,0,0,0,0,1
180,Little Busters!: Refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",13,8.36,71820,0,0,0,0,0,1
181,Major: Message,"Comedy, Drama, Sports",1,8.36,12282,0,0,0,1,0,0
182,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",13,8.36,27532,0,0,0,1,0,0
183,SKET Dance,"Comedy, School, Shounen",77,8.36,101027,0,0,0,0,0,1
184,Bakuman.,"Comedy, Romance, Shounen",25,8.35,246899,0,0,0,0,0,1
185,Danshi Koukousei no Nichijou,"Comedy, School, Shounen, Slice of Life",12,8.35,258914,0,0,0,0,0,1
186,Kotonoha no Niwa,"Drama, Psychological, Romance, Slice of Life",1,8.35,189741,1,0,0,0,0,0
187,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,"Fantasy, Slice of Life, Supernatural",1,8.35,59815,1,0,0,0,0,0
188,Major S4,"Comedy, Drama, Shounen, Sports",26,8.35,28002,0,0,0,0,0,1
189,Omoide no Marnie,"Drama, Mystery, Psychological",1,8.35,53590,1,0,0,0,0,0
190,Working!!!: Lord of the Takanashi,"Comedy, Romance, Slice of Life",1,8.34,31856,0,0,0,0,1,0
191,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",1,8.34,223036,1,0,0,0,0,0
192,K-On! Movie,"Comedy, Music, Slice of Life",1,8.34,115252,1,0,0,0,0,0
193,Kuroko no Basket: Saikou no Present Desu,"Action, School, Shounen, Sports",1,8.34,22900,0,0,0,0,1,0
194,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,"Action, Comedy, Drama, Magic, Super Power",1,8.34,13315,1,0,0,0,0,0
195,Sennen Joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",1,8.34,58492,1,0,0,0,0,0
196,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"Sci-Fi, Thriller",1,8.34,38147,0,0,0,0,1,0
197,xxxHOLiC Kei,"Comedy, Drama, Mystery, Psychological, Supernatural",13,8.34,74941,0,0,0,0,0,1
198,Berserk: Ougon Jidai-hen III - Kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",1,8.33,65594,1,0,0,0,0,0
199,Death Parade,"Drama, Game, Mystery, Psychological, Thriller",12,8.33,383914,0,0,0,0,0,1
200,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",51,8.33,600384,0,0,0,0,0,1
201,Gyakkyou Burai Kaiji: Ultimate Survivor,"Game, Psychological, Seinen, Thriller",26,8.33,98996,0,0,0,0,0,1
202,Hunter x Hunter: Greed Island,"Action, Adventure, Shounen, Super Power",8,8.33,57029,0,0,0,1,0,0
203,Redline,"Action, Cars, Sci-Fi, Sports",1,8.33,109392,1,0,0,0,0,0
204,Chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",25,8.32,158561,0,0,0,0,0,1
205,Detective Conan Movie 20: The Darkest Nightmare,"Action, Mystery, Police, Shounen",1,8.32,6229,1,0,0,0,0,0
206,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",291,8.32,375662,0,0,0,0,0,1
207,Fate/stay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural",1,8.32,106382,0,0,0,0,1,0
208,Kokoro ga Sakebitagatterunda.,"Drama, Romance, School",1,8.32,59652,1,0,0,0,0,0
209,Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",1,8.32,94435,1,0,0,0,0,0
210,Nagi no Asukara,"Drama, Fantasy, Romance",26,8.32,224947,0,0,0,0,0,1
211,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",26,8.32,461946,0,0,0,0,0,1
212,One Piece Film: Gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",1,8.32,18642,1,0,0,0,0,0
213,Tokyo Godfathers,"Comedy, Drama",1,8.32,89424,1,0,0,0,0,0
214,Trigun,"Action, Comedy, Sci-Fi",26,8.32,283069,0,0,0,0,0,1
215,xxxHOLiC Rou,"Mystery, Supernatural",2,8.32,36353,0,0,0,1,0,0
216,Gintama: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",1,8.31,14002,0,0,0,0,1,0
217,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Drama, Magic, Psychological, Thriller",1,8.31,88164,1,0,0,0,0,0
218,Sekaiichi Hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",12,8.31,69253,0,0,0,0,0,1
219,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy, Drama, Romance, School",13,8.31,222994,0,0,0,0,0,1
220,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,"Comedy, Romance, School",1,8.31,35120,0,0,0,1,0,0
221,Aria The Natural,"Fantasy, Sci-Fi, Shounen, Slice of Life",26,8.3,39596,0,0,0,0,0,1
222,Black Lagoon: The Second Barrage,"Action, Seinen",12,8.3,203233,0,0,0,0,0,1
223,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",23,8.3,566690,0,0,0,0,0,1
224,Kami nomi zo Shiru Sekai: Megami-hen,"Comedy, Harem, Romance, Shounen, Supernatural",12,8.3,142612,0,0,0,0,0,1
225,Summer Wars,"Comedy, Sci-Fi",1,8.3,223359,1,0,0,0,0,0
226,Baccano! Specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",3,8.29,100412,0,0,0,0,1,0
227,Detective Conan Movie 14: The Lost Ship in the Sky,"Action, Mystery, Police, Shounen",1,8.29,20602,1,0,0,0,0,0
228,Gyakkyou Burai Kaiji: Hakairoku-hen,"Game, Psychological, Seinen, Thriller",26,8.29,55566,0,0,0,0,0,1
229,Initial D Final Stage,"Cars, Seinen, Sports",4,8.29,19702,0,0,0,0,0,1
